# format:name ra_d dec_d i q u v emaj_s emin_s pa_d
Source195 12.629312 -19.701624 1.773801e-07 0.000000 0.000000 0.000000 3.000000 3.000000 -89.746178
Source202 12.595956 -19.703344 1.178815e-07 0.000000 0.000000 0.000000 3.000000 3.000000 47.747612
Source204 12.568405 -19.504379 8.061133e-08 0.000000 0.000000 0.000000 3.000000 3.000000 -46.632111
Source218 12.377959 -19.443878 3.188405e-07 0.000000 0.000000 0.000000 3.000000 3.000000 -17.317667
Source219 12.643798 -19.676758 3.336228e-08 0.000000 0.000000 0.000000 3.000000 3.000000 -22.982525
Source220 12.658125 -19.829447 1.157257e-07 0.000000 0.000000 0.000000 3.000000 3.000000 89.902725
Source229 12.571910 -19.540052 1.369923e-07 0.000000 0.000000 0.000000 3.000000 3.000000 -4.592023
Source233 12.488581 -19.693132 1.678209e-07 0.000000 0.000000 0.000000 3.000000 3.000000 -48.378857
Source239 12.514653 -19.557226 1.351026e-07 0.000000 0.000000 0.000000 3.000000 3.000000 87.763306
Source240 12.380522 -19.727007 5.377918e-07 0.000000 0.000000 0.000000 3.000000 3.000000 -59.542351
Source257 12.544035 -19.668367 1.798318e-07 0.000000 0.000000 0.000000 3.000000 3.000000 -71.147087
Source259 12.379616 -19.616488 3.352477e-08 0.000000 0.000000 0.000000 3.000000 3.000000 -41.857609
Source263 12.648977 -19.615023 4.702046e-08 0.000000 0.000000 0.000000 3.000000 3.000000 -41.385593
Source273 12.559635 -19.477070 3.724066e-08 0.000000 0.000000 0.000000 3.000000 3.000000 18.723864
Source276 12.427840 -19.824343 6.334247e-08 0.000000 0.000000 0.000000 3.000000 3.000000 44.579605
Source279 12.763225 -19.810888 3.707822e-07 0.000000 0.000000 0.000000 3.000000 3.000000 2.733545
Source287 12.766768 -19.473301 1.802039e-07 0.000000 0.000000 0.000000 3.000000 3.000000 53.669880
