# format:name ra_d dec_d i q u v emaj_s emin_s pa_d
Source68 47.836132 -46.666885 2.530244e-07 0.000000 0.000000 0.000000 3.000000 3.000000 -62.158260
Source74 47.877895 -46.823254 1.532571e-07 0.000000 0.000000 0.000000 3.000000 3.000000 -56.074677
Source79 47.877621 -46.857250 1.122132e-07 0.000000 0.000000 0.000000 3.000000 3.000000 52.494076
Source80 47.758976 -46.848888 1.137842e-07 0.000000 0.000000 0.000000 3.000000 3.000000 38.843571
Source81 47.739464 -46.537678 3.851543e-07 0.000000 0.000000 0.000000 3.000000 3.000000 -62.939232
Source84 47.576458 -46.526287 7.346977e-08 0.000000 0.000000 0.000000 3.000000 3.000000 -13.510368
Source89 47.828049 -46.870834 1.200082e-07 0.000000 0.000000 0.000000 3.000000 3.000000 -79.901825
Source98 47.957546 -46.785999 2.691572e-08 0.000000 0.000000 0.000000 3.000000 3.000000 -79.134209
Source99 47.771648 -46.577576 5.602458e-07 0.000000 0.000000 0.000000 3.000000 3.000000 69.820869
Source100 47.959240 -46.690262 7.738602e-08 0.000000 0.000000 0.000000 3.000000 3.000000 -76.988747
Source105 47.469788 -46.771294 5.859338e-08 0.000000 0.000000 0.000000 3.000000 3.000000 18.686365
Source109 47.483849 -46.658669 7.528786e-08 0.000000 0.000000 0.000000 3.000000 3.000000 60.984154
Source115 47.619095 -46.899418 1.679742e-08 0.000000 0.000000 0.000000 3.000000 3.000000 -2.621059
Source119 47.571293 -46.748978 4.731883e-08 0.000000 0.000000 0.000000 3.000000 3.000000 -28.149988
Source121 47.536888 -46.644135 2.951564e-07 0.000000 0.000000 0.000000 3.000000 3.000000 41.620682
Source132 47.981480 -46.893463 3.711132e-07 0.000000 0.000000 0.000000 3.000000 3.000000 66.280426
Source133 47.773827 -46.784798 1.008548e-07 0.000000 0.000000 0.000000 3.000000 3.000000 16.165905
Source136 47.751282 -46.695026 2.688474e-07 0.000000 0.000000 0.000000 3.000000 3.000000 4.072151
Source144 47.891048 -46.778885 4.390822e-08 0.000000 0.000000 0.000000 3.000000 3.000000 -86.530754
Source151 47.953156 -46.823853 1.341433e-07 0.000000 0.000000 0.000000 3.000000 3.000000 37.489162
Source152 47.724846 -46.643311 6.469890e-08 0.000000 0.000000 0.000000 3.000000 3.000000 -6.338549
Source166 47.742085 -46.913319 2.203622e-07 0.000000 0.000000 0.000000 3.000000 3.000000 52.152851
Source169 48.011333 -46.643185 9.259968e-08 0.000000 0.000000 0.000000 3.000000 3.000000 17.549236
Source171 47.861015 -46.601768 1.161447e-08 0.000000 0.000000 0.000000 3.000000 3.000000 -20.244232
Source173 47.604923 -46.825123 3.174663e-08 0.000000 0.000000 0.000000 3.000000 3.000000 -12.711245
Source174 47.697319 -46.588753 1.172301e-07 0.000000 0.000000 0.000000 3.000000 3.000000 -8.800383
Source183 47.540405 -46.880928 9.127885e-08 0.000000 0.000000 0.000000 3.000000 3.000000 64.013977
Source185 47.806759 -46.801613 6.771326e-08 0.000000 0.000000 0.000000 3.000000 3.000000 62.356133
Source188 47.540787 -46.593216 2.005428e-07 0.000000 0.000000 0.000000 3.000000 3.000000 4.328084
Source189 47.702553 -46.778580 1.141247e-07 0.000000 0.000000 0.000000 3.000000 3.000000 59.471146
Source190 47.974712 -46.612728 2.138239e-08 0.000000 0.000000 0.000000 3.000000 3.000000 70.016205
Source192 47.828064 -46.698570 4.582989e-08 0.000000 0.000000 0.000000 3.000000 3.000000 48.700577
Source193 48.054344 -46.736301 1.738757e-07 0.000000 0.000000 0.000000 3.000000 3.000000 84.550560
Source206 48.020321 -46.921810 1.040729e-07 0.000000 0.000000 0.000000 3.000000 3.000000 -50.122837
Source208 47.497158 -46.720486 2.360310e-07 0.000000 0.000000 0.000000 3.000000 3.000000 -89.543251
Source216 47.869129 -46.904018 7.446489e-08 0.000000 0.000000 0.000000 3.000000 3.000000 -38.649288
Source217 47.724651 -46.806816 7.763258e-08 0.000000 0.000000 0.000000 3.000000 3.000000 62.656326
Source224 47.983814 -46.662472 2.096163e-07 0.000000 0.000000 0.000000 3.000000 3.000000 36.477440
Source225 48.040962 -46.843857 2.912269e-07 0.000000 0.000000 0.000000 3.000000 3.000000 -31.385731
Source227 48.047157 -46.539978 1.639492e-08 0.000000 0.000000 0.000000 3.000000 3.000000 51.148514
Source233 47.612812 -46.735661 2.824653e-08 0.000000 0.000000 0.000000 3.000000 3.000000 -35.539227
Source234 47.962566 -46.856503 2.566647e-07 0.000000 0.000000 0.000000 3.000000 3.000000 -57.156307
Source235 47.889156 -46.716198 1.994250e-07 0.000000 0.000000 0.000000 3.000000 3.000000 74.963905
Source239 47.708523 -46.727921 9.229716e-08 0.000000 0.000000 0.000000 3.000000 3.000000 -18.058607
Source241 47.657562 -46.882175 1.047578e-07 0.000000 0.000000 0.000000 3.000000 3.000000 84.196533
Source246 47.756966 -46.876648 3.712621e-08 0.000000 0.000000 0.000000 3.000000 3.000000 -50.209457
Source247 47.485756 -46.864689 5.007606e-08 0.000000 0.000000 0.000000 3.000000 3.000000 84.977066
Source252 47.998997 -46.559093 6.691683e-08 0.000000 0.000000 0.000000 3.000000 3.000000 25.995600
Source261 47.546028 -46.724255 3.538596e-08 0.000000 0.000000 0.000000 3.000000 3.000000 64.404480
Source264 47.796700 -46.738010 1.901740e-08 0.000000 0.000000 0.000000 3.000000 3.000000 -80.462440
Source265 47.617401 -46.517094 1.873130e-08 0.000000 0.000000 0.000000 3.000000 3.000000 17.372381
Source283 47.824978 -46.915150 2.896473e-07 0.000000 0.000000 0.000000 3.000000 3.000000 29.381277
Source284 47.561142 -46.681847 5.000346e-08 0.000000 0.000000 0.000000 3.000000 3.000000 -45.738892
Source290 47.914314 -46.886696 4.890789e-08 0.000000 0.000000 0.000000 3.000000 3.000000 -32.614506
Source292 47.660877 -46.753784 6.908962e-07 0.000000 0.000000 0.000000 3.000000 3.000000 -9.902151
Source295 47.631855 -46.796566 1.813491e-07 0.000000 0.000000 0.000000 3.000000 3.000000 0.847598
Source298 47.789585 -46.657101 2.095292e-07 0.000000 0.000000 0.000000 3.000000 3.000000 -72.082726
